assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,pKi,activity_class,dataset_version,target_chembl_id,target_name,acquisition_date,rdkit_molecular_weight,rdkit_logp,rdkit_hbd,rdkit_hba,rdkit_tpsa,rdkit_rotatable_bonds,rdkit_num_rings,rdkit_num_aromatic_rings,rdkit_num_saturated_rings,rdkit_num_aliphatic_rings,rdkit_num_atoms,rdkit_num_heavy_atoms,rdkit_num_heteroatoms,rdkit_bertz_ct,rdkit_balaban_j,rdkit_kappa1,rdkit_kappa2,rdkit_kappa3,rdkit_max_partial_charge,rdkit_min_partial_charge,rdkit_slogp,rdkit_smr,rdkit_num_pharmacophore_features,mordred_WPath,mordred_ECIndex,mordred_Radius,mordred_Diameter,mordred_ATS8i,mordred_ATS8v,mordred_ATS7i,mordred_ATS7v,mordred_ATS6i,mordred_ATS6v,mordred_ATS5i,mordred_ATS5v,mordred_ATS4i,mordred_ATS4v,mordred_ATS3v,mordred_ATS3i,mordred_ATS2v,mordred_ATS2i,mordred_ATS1v,mordred_ATS8m,mordred_ATS7m,mordred_ATS0v,mordred_ATS6m,mordred_ATS5m,mordred_ATS4m,mordred_ATS0i,mordred_ATS3m,mordred_ATS1i,mordred_ATS2m,mordred_ATS0m,mordred_ATS1m,mordred_ATSC0m,mordred_ATS8Z,mordred_ATS7Z,mordred_ATS6Z,mordred_ATS5Z,mordred_ATSC0v,mordred_ATS4Z,mordred_ATS3Z,mordred_ATS2Z,mordred_ATS8se,mordred_ATS7se,mordred_ATSC7m,mordred_ATS6se,mordred_ATSC5m,mordred_ATSC6m,mordred_ATS0Z,mordred_ATSC7v,mordred_ATSC5v,mordred_ATSC8v,geom_phi_resonance,geom_pi_resonance,geom_sqrt2_resonance,geom_e_resonance,geom_geometric_complexity,geom_molecular_symmetry,geom_lipophilic_balance,geom_polar_surface_ratio,geom_harmonic_mean,geom_geometric_mean,geom_phi_pi_interaction,geom_sqrt2_e_interaction,feature_version,feature_date
CHEMBL671178,Cl.c1ccc(C2=NC[C@H](CN3CCN(c4ccccc4)CC3)N2)cc1,CHEMBL540039,Ki,nM,14000.0,Ki,nM,14000.0,4.853871964321762,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,2400001571,5400000000,100000000,100000000,10860.022314805436,11933.014945173312,16097.155749170817,12646.699602719935,20780.46568519976,16221.584049729125,20675.080043333266,18733.88027599617,20949.52425361057,19568.01709484636,20893.087793361497,19853.55931601713,19283.90841667329,14282.662492731793,13260.960606538443,3305.913023,3346.854558,10724.659297059676,4090.947936999999,4990.616459000001,5353.258677000001,8171.948101463126,5947.301369,7687.88662103309,6158.627035999998,4952.1707160000005,4463.186507,2404.6470679199997,942.0,995.0,1248.0,1473.0,2639.4210655681827,1568.0,1714.0,1694.0,502.798572,698.5192400000001,395.6161723536002,908.986228,-90.09124655679975,22.41780640000032,1230.0,625.1410671302071,-303.1770433189021,-114.73887301071322,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL4711026,CC(O)CN1[C@H](C)CN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)C[C@@H]1C,CHEMBL4636778,Ki,nM,11900.0,Ki,nM,11900.0,4.924453038607469,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,2732,751,8,15,20367.58528027253,21640.79738045793,30211.134931768185,22887.428708164894,33701.34716576214,27187.92157838365,31190.159986860086,29722.839038539965,30090.952707256067,29514.65743578635,28424.987750957815,25590.567567421283,24055.873803214952,18084.58998712853,16314.624610997356,6920.084956416001,6922.610461011199,12812.969835312348,8548.712719705596,8790.867940670403,9169.6243373728,10282.79854923857,9532.204857043202,9355.643570367058,8494.544884340803,5892.935299299543,5849.110673670404,2846.672398867453,1957.0,1988.0,2492.0,2573.0,3268.3025964695694,2632.0,2680.0,2312.0,962.7860100000003,1304.9005060000002,1632.081839196403,1510.5911019999996,-540.7232893879897,656.391834621885,1476.0,2390.3817181643044,-688.1735096204051,-578.0127833479911,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL3872136,CN[C@H]1c2c(ccc3c2ccn3S(=O)(=O)c2ccccc2)[C@@H]1CCO,CHEMBL3966484,Ki,nM,15848.93,pKi,,4.8,4.800000052738446,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1445,528,7,13,12260.375285777327,11794.464131872744,16563.80972610108,15336.348949213372,18086.06858956371,19147.757118252415,18858.80745560785,21618.307902387874,18368.08843329971,23556.556806270873,23010.319971719608,16743.276694985423,19996.026047522333,12562.93670265444,13470.338698134967,3931.470889999999,4930.507340999999,10401.073935958953,6086.172943999998,7325.165627000001,8685.232893000004,7193.609596422581,8801.515674999997,6905.497175284646,7775.963271999998,4949.479280000002,5714.301188000003,2126.1576444444445,1135.0,1424.0,1734.0,2057.0,2340.3360989804887,2384.0,2366.0,2062.0,577.053994,767.8217999999999,3.624682037036783,859.3478359999998,-648.4702211975308,-243.91366370370375,1250.0,41.848187172088366,-596.8137428186359,94.11695946965982,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL886705,CCCOC1CCCc2ccc(/N=C/N3CCc4cc(OC)c(OC)cc4C3)cc21,CHEMBL240023,Ki,nM,42000.0,Ki,uM,42.0,4.376750709602099,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,2799,850,9,17,22619.055636746256,19298.711859306273,26060.236129571505,21837.9702387734,24233.69191793581,23759.258871826947,26515.72856181776,25415.939564759483,25991.29655454278,27249.22590108673,28051.013993805973,23372.719579162214,24115.064621558562,18397.620230949295,16410.372480457056,5191.453855999998,5685.720478,12718.40304285945,6432.448081999999,7290.552250999998,8002.705630999997,10066.05775005347,8709.370029,9427.748962432808,7718.533232999999,4799.413174000003,5555.411797000004,2107.371790709677,1524.0,1698.0,1900.0,2121.0,3199.5413677586735,2302.0,2427.0,2118.0,1004.6488480000002,1160.8026560000003,77.5099122445369,1127.9470479999998,-354.247199264308,-770.576750965661,1222.0,121.75367059833634,-246.2143094782274,523.268115890202,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL860444,O=C(N[C@H]1CCN(Cc2ccccc2F)C1)c1ccc(-c2cccs2)cc1,CHEMBL196866,Ki,nM,38000.0,Ki,nM,38000.0,4.42021640338319,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,2204,742,8,16,13194.111886514409,13008.504951595703,16326.252201214826,15445.956061523579,16569.774592277583,17843.008780100856,17064.845877451593,19141.973729342877,19731.667600980632,20266.243706743524,21940.137513147652,18389.235989342196,21257.66828990907,13249.131424666026,14462.637171492903,4286.5972752607995,5151.3877578992,11446.970837391304,5422.4500843728,6077.596705095999,6752.21308616,7691.56170495183,7243.344388931199,7323.908118165301,7635.645661670399,5232.29102914977,5317.496871835199,2216.330650378083,1201.0,1460.0,1541.0,1712.0,2550.587912679529,1894.0,2017.0,2039.0,607.524866,751.4168040000001,346.42268998803394,782.363366,-476.7721186753421,-360.3206637074327,1312.0,-53.90647321919951,-176.75595353077057,486.6614877899853,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL5738666,CC1(Oc2ccc(Cl)cc2)CCN(CCn2ccccc2=O)C1,CHEMBL5781514,Ki,nM,20000.0,Ki,nM,20000.0,4.698970004336019,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1365,528,7,14,12926.176141866556,12087.88179787888,16472.96761830997,15001.738160170373,17481.35725513497,16253.445794096597,17182.81865699607,16297.325658549615,19435.15494386145,17219.74698447801,19464.880410427926,17744.01454398662,17839.691103562793,12779.64977959069,12058.469170899949,4130.204719,4909.816189,9699.443723322644,4719.770453,5012.456769999999,5048.029690000001,7127.111227171129,6430.283864999999,6705.488190034896,6621.785364999998,4779.122122000001,4429.921042000004,2261.5203587272727,1208.0,1388.0,1362.0,1434.0,2300.3396393199996,1480.0,1830.0,1771.0,611.0143360000001,751.03007,514.2743830578511,794.5925620000002,205.43640688429753,268.7440189421486,1184.0,339.5412517407852,-80.46591625835427,-813.6151191643803,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL672098,O=C1C[C@@H](CN2CCN(c3ccccc3)CC2)N=C(c2ccccc2)N1,CHEMBL168541,Ki,nM,18000.0,Ki,nM,18000.0,4.7447274948966935,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1876,666,8,15,14670.806516083478,13911.675356751462,18668.73440518842,16126.26877570485,21181.445864099267,19302.142400475284,22061.99445846872,20888.991737415967,21576.44231165932,21415.281163805383,22739.041071748914,20839.52422430183,20295.153636379935,14671.689112354994,13862.045896306856,3893.869029,4575.778347999999,10829.51227292934,5468.889160999999,6061.005705,6268.40689,8131.116663514476,6825.6654579999995,7791.6847281380005,6715.129202999999,4094.6842739999997,4763.881017,1666.336224,1139.0,1349.0,1597.0,1747.0,2558.4457980191437,1801.0,1942.0,1832.0,672.6934200000001,845.122568,-152.33273299999982,961.549364,49.629933000000115,-59.87639199999979,1040.0,-10.159594206344144,108.71384635043536,-125.97263386847774,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL5106582,COc1ccc(N2CCN(CCCN3C(=O)CCc4ccccc43)CC2)cc1.O=C(O)C(=O)O,CHEMBL5178868,Ki,nM,20892.96,pKi,,4.68,4.68000002720016,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,16800002479,7200000000,100000000,100000000,16544.719720282585,17685.966429135573,18794.68654352912,16832.328190155935,25248.037742640943,18669.614591178288,27902.735478144597,23025.40439856185,25941.73368421987,25964.871389762193,27400.94553093857,24771.049115533424,24228.994352502505,18443.326397171837,16969.92711570181,4863.789298,4946.940315,13579.805802543273,5092.448193999999,5857.661613999999,6842.487852,10648.734018246721,8895.140895999999,9893.1377938414,8565.432144,5762.497162000001,6127.932571999999,2370.713570553846,1428.0,1427.0,1522.0,1769.0,3175.0847964184018,2043.0,2495.0,2326.0,790.2690719999999,847.7186999999999,225.09104099100574,1103.99188,204.43698545751448,824.4770219749108,1462.0,785.2399244747853,-589.6186072356079,-1145.954930456945,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL672383,N#Cc1ccc2[nH]c(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)cc2c1,CHEMBL140006,Ki,nM,43000.0,Ki,nM,43000.0,4.366531544420414,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1932,699,8,16,10915.143605975849,12449.664240857153,12998.479152295511,14248.813823920089,16689.355281569486,16610.335952349098,17958.758645128913,18059.042784381087,19330.253189518196,20488.210287353497,22924.19229103501,17323.202311841367,20296.26324554953,12600.022238085641,13473.878130594501,4225.605037999999,4991.105876999998,11011.044044456257,5880.154901999998,6047.586564000002,6656.745662999998,7045.683965110283,9092.794579000001,6847.986595393597,7789.674916999998,6201.760768,5182.416323000003,2827.898830181819,1186.0,1420.0,1646.0,1684.0,2296.133854726385,1876.0,2431.0,2043.0,517.807396,616.109462,-1270.3834749256196,765.734288,769.030439950413,2.699778669421236,1512.0,-660.8596053983545,342.70110866527847,-498.4259112070417,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL2066740,CCN(CC)[C@@H]1[C@@H](CO)[C@H]2CN(Cc3ccccc3)[C@H](c3ccccc3)[C@H]21,CHEMBL2062848,Ki,nM,12000.0,Ki,uM,12.0,4.920818753952375,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1729,500,6,11,30351.55963695699,25035.621856378202,34949.029038050554,30150.621539200896,36835.23505591454,33127.02150939745,33176.556138445856,32630.997947839332,29179.87956548371,29618.30761725685,27223.401125986566,24755.89721661966,23112.277522884826,17430.236392412044,15608.529267214282,5927.889150999998,7301.124158999997,11862.104587181404,8428.059346,8695.506208,8109.292272999999,9568.360822358469,7575.448414999999,8983.546731661056,6800.232003999998,4143.2130510000015,4911.113954000003,1890.9366427118644,1810.0,2214.0,2502.0,2536.0,3118.935653499245,2346.0,2167.0,1897.0,1346.7012439999999,1566.8446439999996,-399.08254033496115,1655.3957359999997,-137.63324083165762,-63.626932191611616,1058.0,-228.30361389878286,-326.62991420731146,-385.47184058532747,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
