material_id,formula,tm_element,quantum_freq_encoding,quantum_wavelength_encoding,quantum_toggle_encoding,quantum_score_normalized,quantum_coherence,electromagnetic_freq_encoding,electromagnetic_wavelength_encoding,electromagnetic_toggle_encoding,electromagnetic_score_normalized,electromagnetic_coherence,gravitational_freq_encoding,gravitational_wavelength_encoding,gravitational_toggle_encoding,gravitational_score_normalized,gravitational_coherence,biological_freq_encoding,biological_wavelength_encoding,biological_toggle_encoding,biological_score_normalized,biological_coherence,cosmological_freq_encoding,cosmological_wavelength_encoding,cosmological_toggle_encoding,cosmological_score_normalized,cosmological_coherence,nuclear_freq_encoding,nuclear_wavelength_encoding,nuclear_toggle_encoding,nuclear_score_normalized,nuclear_coherence,optical_freq_encoding,optical_wavelength_encoding,optical_toggle_encoding,optical_score_normalized,optical_coherence,primary_realm,primary_realm_score,active_offbits_count,offbit_density,toggle_pattern,toggle_sum,toggle_bias_used,total_interactions,interaction_density,ubp_energy_full,nrci_calculated,lattice_a_phi_resonance,lattice_a_pi_resonance,lattice_a_e_resonance,lattice_a_sqrt2_resonance,lattice_a_sqrt3_resonance,lattice_a_sqrt5_resonance,lattice_b_phi_resonance,lattice_b_pi_resonance,lattice_b_e_resonance,lattice_b_sqrt2_resonance,lattice_b_sqrt3_resonance,lattice_b_sqrt5_resonance,lattice_c_phi_resonance,lattice_c_pi_resonance,lattice_c_e_resonance,lattice_c_sqrt2_resonance,lattice_c_sqrt3_resonance,lattice_c_sqrt5_resonance,magnetization_phi_resonance,magnetization_pi_resonance,magnetization_e_resonance,magnetization_sqrt2_resonance,magnetization_sqrt3_resonance,magnetization_sqrt5_resonance,formation_energy_phi_resonance,formation_energy_pi_resonance,formation_energy_e_resonance,formation_energy_sqrt2_resonance,formation_energy_sqrt3_resonance,formation_energy_sqrt5_resonance,coordination_phi_resonance,coordination_pi_resonance,coordination_e_resonance,coordination_sqrt2_resonance,coordination_sqrt3_resonance,coordination_sqrt5_resonance,volume_per_atom_phi_resonance,volume_per_atom_pi_resonance,volume_per_atom_e_resonance,volume_per_atom_sqrt2_resonance,volume_per_atom_sqrt3_resonance,volume_per_atom_sqrt5_resonance,total_resonance_potential,cross_realm_coherence,toggle_coherence,interaction_coherence,system_coherence,band_gap_phi_resonance,band_gap_pi_resonance,band_gap_e_resonance,band_gap_sqrt2_resonance,band_gap_sqrt3_resonance,band_gap_sqrt5_resonance,nrci_percentile,ubp_energy_percentile,resonance_cluster,realm_dominance,realm_diversity,ubp_quality_score
mp-616476,FeS,Fe,14.660865478003869,655.0,0.22652348570492042,0.4445277491913543,0.3092235582720535,0.49714992058195684,635.0,3.141592653589793,0.2694654749083165,0.26946547490825185,2.0,1000.0,0.1,0.11560900637689842,0.056323283026631255,1.0,700.0,0.01,0.12500000000000003,0.05101025772667401,-10.999999999565706,800.0,6.373902142303395,0.013061912534432915,0.013061912534432915,20.091877899629413,600.0,0.5,0.02335367449205403,0.006295960836216903,14.698970004336019,600.0,0.3,0.008982182496943865,-0.004609599809091324,quantum,0.4445277491913543,160,0.7595055522363063,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",3,0.22652348570492042,1440,6.835549970126757,-8.893469547368107e-11,0.0,0.0002806056414949807,0.38729792452053263,0.10918275496564177,1.6658249080028225e-08,0.0063277080785135425,0.49967864722288796,0.0002806056414949807,0.38729792452053263,0.10918275496564177,1.6658249080028225e-08,0.0063277080785135425,0.49967864722288796,0.28606960974576173,0.1727165995668682,0.495931158422919,0.0149181743146515,0.4736712198350555,0.06776894543781982,1.0255362381005972e-86,2.573051559944169e-07,3.685002336188075e-14,7.164531572944309e-128,1.3552970475287837e-70,2.6765645836801082e-30,0.29946437520091884,2.719456435623648e-07,1.0072156490096856e-05,0.48040531561750816,0.1380957151035074,0.0011067993233517398,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,1.0510067631474113e-64,0.0001889949142990198,3.145961883235642e-09,4.265186849798903e-97,4.058776145945839e-52,3.734885327261869e-21,0.1344817889984111,0.8780618092937934,0.25,1.0,0.7093539364312645,,,,,,,0.10202020202020202,0.5098522167487685,Med-Low,0.4445277491913543,0.5554722508086457,0.28127857514322524
mp-1016317,Mg7Fe,Fe,14.660865478003869,655.0,0.22652348570492042,0.1596018934721964,0.11102268755146966,0.49714992058195684,635.0,3.141592653589793,0.46997551259982173,0.46997551259970893,2.0,1000.0,0.1,0.1808534974812907,0.08810959495479541,1.0,700.0,0.01,0.12500000000000003,0.05101025772667401,-10.999999999565706,800.0,6.373902142303395,0.008172034934712689,0.008172034934712689,20.091877899629413,600.0,0.5,0.040731211091984534,0.010980803467740002,14.698970004336019,600.0,0.3,0.015665850419993993,-0.008039616332648295,electromagnetic,0.46997551259982173,100,0.5007598807499859,,12,,900,,,0.0,0.015786374913832137,0.4853924787751369,0.22156850256384383,2.5171050727802425e-05,0.0993890734352544,0.34494038079605843,0.015786374913832137,0.4853924787751369,0.22156850256384383,2.5171050727802425e-05,0.0993890734352544,0.34494038079605843,0.49682489119160445,0.04572145960306887,0.31217997575452455,0.14570359165476726,0.42914593327112577,0.3103548460502913,0.017198410168470398,0.05981177618399385,0.49509775505091913,0.15535215879600878,0.004309252918695439,0.774404707200631,5.3541779594278815e-11,3.951855371904794e-16,3.3022065469536715e-15,1.1198743412223962e-09,1.2427287042529306e-11,8.590282947358764e-14,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,1.364107632312036e-211,3.2819666516626716e-28,1.314604053263982e-46,2.0697636750589413e-299,1.4675221476655002e-176,6.83824675174041e-86,0.1617300246148195,0.84534149805333,1.0,1.0,0.9484471660177767,,,,,,,0.10202020202020202,,Medium,0.46997551259982173,0.5300244874001783,0.3700590635441987
mp-1023632,Mg15Fe,Fe,14.660865478003869,655.0,0.22652348570492042,0.1538282173601269,0.10700638783804964,0.49714992058195684,635.0,3.141592653589793,0.47811684045406705,0.4781168404539523,2.0,1000.0,0.1,0.1805277284949876,0.08795088431976901,1.0,700.0,0.01,0.12499999999999997,0.05101025772667398,-10.999999999565706,800.0,6.373902142303395,0.00515319283633035,0.00515319283633035,20.091877899629413,600.0,0.5,0.04143679283935248,0.011171022572219238,14.698970004336019,600.0,0.3,0.015937228015135523,-0.008178885615050617,electromagnetic,0.47811684045406705,100,0.46759371915808934,,12,,900,,,0.0,0.005745209718689835,0.4997025873061694,0.13965524380300137,3.703107728962499e-06,0.05132876792854024,0.4173167677495709,0.005745209718689835,0.4997025873061694,0.13965524380300137,3.703107728962499e-06,0.05132876792854024,0.4173167677495709,7.318496228569235e-25,0.43069738374664773,0.04558640856599511,3.5109486981775175e-40,4.0084531028483404e-19,4.572617602188823e-06,0.003525008921138232,0.01320317419418037,0.18308245325227068,0.048471198141123,0.019728450404807876,0.9965126061158092,6.250055469895012e-15,1.6754049764598363e-18,6.966007872019349e-18,6.007960894439096e-14,2.162661181409923e-15,6.460037541376687e-17,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,6.654497629376798e-253,5.2847251022144016e-36,3.425954598672209e-58,0.0,7.835188759536458e-212,5.4751936540962465e-105,0.12334924111689816,0.8423351690054441,1.0,1.0,0.9474450563351481,,,,,,,0.10202020202020202,,Med-Low,0.47811684045406705,0.521883159545933,0.35693143248401543
mp-1185592,Mg149Fe,Fe,14.660865478003869,655.0,0.22652348570492042,0.006218009282014513,0.004325387917966631,0.49714992058195684,635.0,3.141592653589793,0.46578026144831863,0.46578026144820683,2.0,1000.0,0.1,0.30292596509281017,0.14758179663281962,1.0,700.0,0.01,0.125,0.051010257726673995,-10.999999999565706,800.0,6.373902142303395,0.0012738912272494626,0.0012738912272494626,20.091877899629413,600.0,0.5,0.07083237659398785,0.019095833040048974,14.698970004336019,600.0,0.3,0.02796949635561926,-0.014353770378759291,electromagnetic,0.46578026144831863,100,0.4349439772209891,,12,,900,,,0.0,2.936232789125349e-114,2.1211160044222537e-11,8.236220739481313e-21,4.7147542210924824e-166,7.745501703870639e-94,3.854317622295737e-42,2.935502902261077e-114,2.121033804837673e-11,8.235711300102643e-21,4.713135512371996e-166,7.743873292429359e-94,3.8538998377647105e-42,5.934977717937838e-109,1.4016881564065745e-10,1.6946442296204354e-19,1.0146930338158974e-158,2.368985994262705e-89,7.829759125224749e-40,4.768070598026912e-17,1.0588499833461748e-19,3.0040631583414975e-19,2.6775912962864264e-16,2.138376851283334e-17,1.552205332620436e-18,1.6641330551105379e-21,4.22518424889345e-22,5.307554589268825e-22,2.491547658544472e-21,1.383178686149661e-21,7.637174711099803e-22,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,3.387603046726944e-304,5.0632918978983146e-46,6.629584475194051e-73,0.0,1.0347666984644517e-255,5.669860927469507e-129,0.025257339831359766,0.8410343145134183,1.0,1.0,0.9470114381711395,6.367372183295796e-17,1.2438175363880751e-19,3.610118627968153e-19,3.6984267764483173e-16,2.810082075551431e-17,1.932103527789264e-18,0.10202020202020202,,Low,0.46578026144831863,0.5342197385516814,0.32408959266749976
mp-1217177,Ti3Fe,Ti,14.660865478003869,655.0,0.22652348570492042,4.447343204874404e-05,3.0936725393858685e-05,0.49714992058195684,635.0,3.141592653589793,0.5635969084881561,0.5635969084880209,2.0,1000.0,0.1,0.24890645681452242,0.12126415798969889,1.0,700.0,0.01,0.125,0.051010257726673995,-10.999999999565706,800.0,6.373902142303395,0.0023351576932026004,0.0023351576932026004,20.091877899629413,600.0,0.5,0.04133043995579809,0.011142350699195358,14.698970004336019,600.0,0.3,0.01878656361627185,-0.009641146802407251,electromagnetic,0.5635969084881561,100,0.6386792598611416,,12,,900,,,0.0,0.38194849792446883,0.9015536586067651,0.5876707602850227,0.41725172774720776,0.20267233191759707,0.0029854070313864345,0.38194849792446883,0.9015536586067651,0.5876707602850227,0.41725172774720776,0.20267233191759707,0.0029854070313864345,2.1665177984311715e-10,0.17030996127321296,0.495198395626149,1.9447782479740662e-18,1.5399499812224333e-07,0.069355190184995,2.025120521979076e-22,1.9778031815040783e-22,1.9855524724191484e-22,2.0393972020555302e-22,2.0186326527499742e-22,1.9980175099001817e-22,1.5573988428294988e-19,4.661973077689578e-21,8.40905139806555e-21,4.3016680475500317e-19,9.752031848853332e-20,2.1444592527665557e-20,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,1.383950939665179e-108,1.59572255951164e-10,2.0873171077623075e-19,3.2725192447744817e-158,4.8450294076749845e-89,1.130484179238279e-39,0.16512811381436077,0.808391113853624,1.0,1.0,0.9361303712845414,,,,,,,0.10202020202020202,,Medium,0.5635969084881561,0.43640309151184387,0.367086161699634
mp-1224926,GaFe,Fe,14.660865478003869,655.0,0.22652348570492042,0.14071209788281994,0.09788251842186083,0.49714992058195684,635.0,3.141592653589793,0.46165540935478194,0.46165540935467114,2.0,1000.0,0.1,0.21452400007865655,0.10451344883152343,1.0,700.0,0.01,0.125,0.051010257726673995,-10.999999999565706,800.0,6.373902142303395,0.0027098435611678374,0.0027098435611678374,20.091877899629413,600.0,0.5,0.04001013547741438,0.01078640734258936,14.698970004336019,600.0,0.3,0.015388513645159375,-0.007897288836545134,electromagnetic,0.46165540935478194,100,0.7586394041275979,,12,,900,,,0.0,0.1604308697055918,0.4564441119385904,0.993989323952347,0.48025199206722685,0.05906945342858314,0.07265155150351972,0.1604308697055918,0.4564441119385904,0.993989323952347,0.48025199206722685,0.05906945342858314,0.07265155150351972,0.11864970821371014,0.01821483932782792,0.01766262692028079,0.4413905275937997,0.13118130241942225,0.3072386522354859,0.02928880167296873,0.004953852622675455,0.04782298167472195,0.011109970926995207,0.1894511416059596,0.7020616849507894,2.8418006288794512e-18,2.2405990507634695e-20,5.088084015051586e-20,1.1358407386774201e-17,1.4969367669998736e-18,1.8609583731684964e-19,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,6.181377057384935e-65,0.00017737595281996528,2.808540298518974e-09,2.0230467140824443e-97,2.6031291687551633e-52,3.0093588981373244e-21,0.1827911996628665,0.8477667346892136,1.0,1.0,0.9492555782297378,,,,,,,0.10202020202020202,,Medium,0.46165540935478194,0.538344590645218,0.3773489259642015
mp-1224803,FeRu,Fe,14.660865478003869,655.0,0.22652348570492042,3.275045045431018e-05,2.2781954204021943e-05,0.49714992058195684,635.0,3.141592653589793,0.5401690657160515,0.5401690657159218,2.0,1000.0,0.1,0.2630460956564915,0.12815281576255658,1.0,700.0,0.01,0.12500000000000003,0.05101025772667401,-10.999999999565706,800.0,6.373902142303395,0.006931800291076589,0.006931800291076589,20.091877899629413,600.0,0.5,0.04681465236205775,0.012620849791021519,14.698970004336019,600.0,0.3,0.018005635523868305,-0.009240379395723829,electromagnetic,0.5401690657160515,100,0.8123657529313018,,12,,900,,,0.0,0.09314186560556946,0.2835410091939088,0.9621814474888328,0.40312732718472677,0.030085692438657684,0.19122186343673214,0.09314186560556946,0.2835410091939088,0.9621814474888328,0.40312732718472677,0.030085692438657684,0.19122186343673214,0.13573487535070483,0.012666739492742291,0.021251573344037836,0.46037185540707604,0.10818306509858674,0.33387981007826584,2.0023799059008058e-22,1.9663308864958985e-22,1.972248157788669e-22,2.0132186103080634e-22,1.9974485997331753e-22,1.9817552267379592e-22,1.2250182928824026e-13,9.55271589079518e-18,5.00534555108157e-17,1.5758649320005098e-12,3.6681654262688107e-14,6.572723199787671e-16,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,2.960099857379573e-52,0.004616655745843373,1.1536518350576003e-06,1.5514924652164566e-79,1.0037151638347147e-41,3.614029681610936e-16,0.14799182025215143,0.8167588014223138,1.0,1.0,0.9389196004741046,,,,,,,0.10202020202020202,,Medium,0.5401690657160515,0.4598309342839485,0.362303806908752
mp-973534,FeRe,Fe,14.660865478003869,655.0,0.22652348570492042,0.00042524769569135,0.0002958119169115487,0.49714992058195684,635.0,3.141592653589793,0.5268378355134159,0.5268378355132894,2.0,1000.0,0.1,0.2793898848887694,0.1361153084394346,1.0,700.0,0.01,0.12499999999999997,0.05101025772667398,-10.999999999565706,800.0,6.373902142303395,0.005126491640513337,0.005126491640513337,20.091877899629413,600.0,0.5,0.04565927907782937,0.012309370543882566,14.698970004336019,600.0,0.3,0.01756126118378047,-0.009012329267157535,electromagnetic,0.5268378355134159,100,0.7716446881324173,,12,,900,,,0.0,0.11960083769663546,0.3537918457426467,0.9941013608094229,0.4425744357493224,0.04083323962812044,0.1288792580373999,0.11960083769663546,0.3537918457426467,0.9941013608094229,0.4425744357493224,0.04083323962812044,0.1288792580373999,0.1694028768277831,0.006414354762583104,0.029091126449456658,0.4855602612724099,0.07455325529713268,0.379443022053428,4.259286502207074e-22,2.4929635190605287e-22,2.5944444887972416e-22,5.266319493939695e-22,3.865192414080597e-22,2.831462459362101e-22,1.296665456139263e-15,6.796240380514267e-19,2.4990017071243358e-18,1.0560120136590266e-14,4.864470547871625e-16,1.922649417446187e-17,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,1.4305634550360842e-61,0.0004414514796249274,1.4509466853270758e-08,1.091051424899146e-92,1.6955971477631423e-49,6.95946410198785e-20,0.1551623959452779,0.8209802128593149,1.0,1.0,0.9403267376197716,,,,,,,0.10202020202020202,,Medium,0.5268378355134159,0.4731621644865841,0.36516304452168313
mp-2779,FeS,Fe,14.660865478003869,655.0,0.22652348570492042,0.5598341610685025,0.38943330679078153,0.49714992058195684,635.0,3.141592653589793,0.19761821434157645,0.197618214341529,2.0,1000.0,0.1,0.0847843138709325,0.041305872751843845,1.0,700.0,0.01,0.12500000000000006,0.051010257726674016,-10.999999999565706,800.0,6.373902142303395,0.00904912499799963,0.00904912499799963,20.091877899629413,600.0,0.5,0.01712691190960322,0.00461727625196144,14.698970004336019,600.0,0.3,0.006587273811385841,-0.0033805476690913216,quantum,0.5598341610685025,240,0.6979780981907637,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",5,0.22652348570492042,2160,6.281802883716874,-1.9970365750078086e-10,0.0,0.04967717826544724,0.41403719844350717,0.34918191989105707,0.0002490479111381021,0.20121603873004015,0.24077714184243018,9.165884435426507e-41,0.05312330475808909,0.0001646881037523929,3.5022457348622516e-63,3.469005170257205e-32,9.628090223294538e-12,0.050251727279400187,0.4129823234970333,0.35059620679977754,0.0002550686204676249,0.2025769123026605,0.2396495038466408,0.0,6.95887208324144e-71,7.003148569113008e-109,0.0,0.0,8.467189364015233e-187,0.15992767010137643,6.648262116099405e-08,2.433291658762595e-06,0.47992596560749357,0.058832362920580715,0.0002947323352607373,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,9.951643258722885e-84,6.666080032433017e-07,1.8166229090697891e-13,1.0358308759522839e-123,4.419661531810823e-68,4.877150766850984e-29,0.10657320165168864,0.8652048534620023,0.41666666666666663,1.0,0.7606238400428896,,,,,,,0.10202020202020202,0.21921182266009853,Med-Low,0.5598341610685025,0.4401658389314975,0.28906568056485943
mp-21260,FeSn,Fe,14.660865478003869,655.0,0.22652348570492042,0.3159320300701846,0.21976946700882347,0.49714992058195684,635.0,3.141592653589793,0.34416895558687327,0.34416895558679067,2.0,1000.0,0.1,0.17126655979677194,0.08343895707383767,1.0,700.0,0.01,0.125,0.051010257726673995,-10.999999999565706,800.0,6.373902142303395,0.0023321798757453,0.0023321798757453,20.091877899629413,600.0,0.5,0.029827976150862315,0.008041379943586072,14.698970004336019,600.0,0.3,0.011472298519562388,-0.005887511758262148,electromagnetic,0.34416895558687327,100,0.5453039411767491,,12,,900,,,0.0,0.3230239023368881,0.14987119881445918,0.48617928572813024,0.021387348573128875,0.4885821351127375,0.08723468653326526,0.32298070423002767,0.1498969131980858,0.4861939861801703,0.021378560810441892,0.48856809573130067,0.08720937578957927,0.3886197532790248,0.009301356250765381,0.11682287213475433,0.41026614982180865,0.20881547260556257,0.49825885384939994,5.190893308979196e-06,0.18072461518620647,0.24455814512455773,1.9651058372149868e-11,0.0003428652619918575,0.3906230677429822,1.2528596522686805e-17,5.053346723135029e-20,1.2902959205188332e-19,6.003109137608265e-17,6.05844086665803e-18,5.663389556108336e-19,0.03082122568917697,0.4517104216734397,0.2922363794295496,9.403994273360448e-05,0.15110806901618243,0.2863821759715954,1.3496831225552024e-168,1.8871107280767213e-20,6.859436239138408e-35,1.0097170059173341e-240,6.1689867552945495e-140,2.683286322491942e-66,0.161266591593593,0.8770343582229019,1.0,1.0,0.9590114527409673,,,,,,,0.10202020202020202,,Medium,0.34416895558687327,0.6558310444131268,0.37342601477818677
