Time (s),Concentration (mol/L),Temperature (K),Rate Constant (k) s^-1
0.0,1.0,298.15,0.3075175341684851
1.0,0.692482465831515,294.47507726854104,0.3075175341684851
2.0,0.5350509100754549,292.59372502480227,0.22734374301740673
3.0,0.43114445964298603,291.35201314104904,0.19419918455575677
4.0,0.35577110591655703,290.45127994642155,0.17482157555461283
5.0,0.2981733756585641,289.76297055041306,0.1618954695874093
6.0,0.2526671376141775,289.2191579542803,0.15261670477412265
7.0,0.21587008862451526,288.77942266520694,0.14563448708494606
8.0,0.185604076951192,288.41773514521026,0.14020474937576008
9.0,0.1603843814893219,288.1163525512587,0.13587899509611567
10.0,0.13915451850884708,287.86264959977115,0.13236864327645445
