Time (s),R Concentration (mol/L),P Concentration (mol/L),Temperature (K),kf (s^-1),kr (s^-1)
0.0,1.0,0.0,298.15,0.31059270951016993,0.0005443123616936032
1.0,0.6894072904898301,0.31059270951016993,294.43832804122644,0.31059270951016993,0.0005443123616936032
2.0,0.5317094183530339,0.46829058164696613,292.5537932403565,0.22891590779845322,0.00038128264099299635
3.0,0.4279183315743759,0.572081668425624,291.31345998535346,0.19548196130607912,0.0003171389127351919
4.0,0.35276866665426954,0.6472313333457304,290.415399936117,0.17599192502766123,0.00028056485140451966
5.0,0.29542876546030433,0.7045712345396955,289.7301716713708,0.16301324800325137,0.000256577428452232
6.0,0.250187536142901,0.7498124638570989,289.18952600553183,0.15370888656349782,0.00023957447033592477
7.0,0.21365135005829325,0.7863486499417066,288.7529081029911,0.14671523474875883,0.00022690608653841218
8.0,0.18363695600296448,0.8163630439970354,288.3942274856951,0.1412822189449574,0.00021713366139234066
9.0,0.15865732283439976,0.8413426771656001,288.09571370500004,0.1369581619887472,0.0002094004622903518
10.0,0.1376550112543046,0.8623449887456952,287.8447300580104,0.13345264582210348,0.00020316089489595974
