Time (s),N_R,N_P,R Concentration (mol/L),P Concentration (mol/L),k (s^-1)
0.0,6000,0,9.963467286615741e-21,0.0,0.101
9.765388028404231e-05,5999,1,9.96180670873464e-21,1.6605778811026236e-24,0.101
0.002101950523221843,5998,2,9.960146130853536e-21,3.321155762205247e-24,0.101
0.0022054585516453097,5997,3,9.958485552972434e-21,4.981733643307871e-24,0.101
0.0027745934469485646,5996,4,9.956824975091332e-21,6.642311524410495e-24,0.101
0.002823868497877565,5995,5,9.955164397210228e-21,8.302889405513118e-24,0.101
0.0028761966581360913,5994,6,9.953503819329126e-21,9.963467286615742e-24,0.101
0.005634640755870087,5993,7,9.951843241448023e-21,1.1624045167718365e-23,0.101
0.006699494499497731,5992,8,9.950182663566921e-21,1.328462304882099e-23,0.101
0.008630609058736943,5991,9,9.948522085685819e-21,1.4945200929923614e-23,0.101
0.009545056111787402,5990,10,9.946861507804715e-21,1.6605778811026236e-23,0.101
0.0106237395920183,5989,11,9.945200929923613e-21,1.826635669212886e-23,0.101
0.01198172502461398,5988,12,9.94354035204251e-21,1.9926934573231484e-23,0.101
0.012870378002275355,5987,13,9.941879774161408e-21,2.158751245433411e-23,0.101
0.013092337187480093,5986,14,9.940219196280306e-21,2.324809033543673e-23,0.101
0.013706678445612946,5985,15,9.938558618399202e-21,2.4908668216539356e-23,0.101
0.01468275762237151,5984,16,9.9368980405181e-21,2.656924609764198e-23,0.101
0.016804533013158873,5983,17,9.935237462636997e-21,2.8229823978744603e-23,0.101
0.01685072425680748,5982,18,9.933576884755895e-21,2.989040185984723e-23,0.101
0.01910394527355005,5981,19,9.931916306874793e-21,3.155097974094985e-23,0.101
0.02021056139139791,5980,20,9.930255728993689e-21,3.321155762205247e-23,0.101
0.021566456496576666,5979,21,9.928595151112587e-21,3.48721355031551e-23,0.101
0.021986425184957182,5978,22,9.926934573231484e-21,3.653271338425772e-23,0.101
0.025053283340807864,5977,23,9.925273995350381e-21,3.819329126536034e-23,0.101
0.025312054550052015,5976,24,9.92361341746928e-21,3.985386914646297e-23,0.101
0.02582617333047253,5975,25,9.921952839588176e-21,4.151444702756559e-23,0.101
0.02771211699332032,5974,26,9.920292261707074e-21,4.317502490866822e-23,0.101
0.029406412080452096,5973,27,9.91863168382597e-21,4.4835602789770837e-23,0.101
0.029512517548302107,5972,28,9.916971105944868e-21,4.649618067087346e-23,0.101
0.030419679139866596,5971,29,9.915310528063766e-21,4.8156758551976087e-23,0.101
0.032064092301829286,5970,30,9.913649950182663e-21,4.981733643307871e-23,0.101
0.036441076977750904,5969,31,9.911989372301561e-21,5.147791431418133e-23,0.101
0.037892303931584916,5968,32,9.910328794420457e-21,5.313849219528396e-23,0.101
0.03870827817521804,5967,33,9.908668216539355e-21,5.479907007638658e-23,0.101
0.04015034834368994,5966,34,9.907007638658253e-21,5.645964795748921e-23,0.101
0.04071795441362918,5965,35,9.90534706077715e-21,5.812022583859183e-23,0.101
0.04265680315502027,5964,36,9.903686482896048e-21,5.978080371969446e-23,0.101
0.04353745241737037,5963,37,9.902025905014944e-21,6.144138160079708e-23,0.101
0.044671290764048396,5962,38,9.900365327133842e-21,6.31019594818997e-23,0.101
0.044993550150924336,5961,39,9.89870474925274e-21,6.476253736300233e-23,0.101
0.04569964682769608,5960,40,9.897044171371637e-21,6.642311524410495e-23,0.101
0.05785054767200724,5959,41,9.895383593490535e-21,6.808369312520756e-23,0.101
0.058151998036516134,5958,42,9.893723015609431e-21,6.97442710063102e-23,0.101
0.059623944927275685,5957,43,9.892062437728329e-21,7.140484888741281e-23,0.101
0.06077042490995632,5956,44,9.890401859847227e-21,7.306542676851545e-23,0.101
0.06139237658902003,5955,45,9.888741281966124e-21,7.472600464961806e-23,0.101
0.06313236774344655,5954,46,9.887080704085021e-21,7.638658253072068e-23,0.101
0.06363091898782011,5953,47,9.885420126203918e-21,7.804716041182332e-23,0.101
0.069182954005612,5952,48,9.883759548322816e-21,7.970773829292593e-23,0.101
0.07137498941973265,5951,49,9.882098970441714e-21,8.136831617402855e-23,0.101
0.07648869176380199,5950,50,9.88043839256061e-21,8.302889405513118e-23,0.101
0.08284580963481585,5949,51,9.878777814679508e-21,8.46894719362338e-23,0.101
0.08405331965555196,5948,52,9.877117236798405e-21,8.635004981733643e-23,0.101
0.08488280591343736,5947,53,9.875456658917303e-21,8.801062769843905e-23,0.101
0.0878162519194311,5946,54,9.873796081036201e-21,8.967120557954167e-23,0.101
0.0888845949938471,5945,55,9.872135503155097e-21,9.13317834606443e-23,0.101
0.08975490539834467,5944,56,9.870474925273995e-21,9.299236134174692e-23,0.101
0.09010420627857237,5943,57,9.868814347392892e-21,9.465293922284954e-23,0.101
0.09680686340684627,5942,58,9.86715376951179e-21,9.631351710395217e-23,0.101
0.09781652011347369,5941,59,9.865493191630688e-21,9.797409498505479e-23,0.101
0.09906116806277933,5940,60,9.863832613749584e-21,9.963467286615742e-23,0.101
0.10181632467764648,5939,61,9.862172035868482e-21,1.0129525074726004e-22,0.101
0.10588547756204425,5938,62,9.860511457987379e-21,1.0295582862836266e-22,0.101
0.10723291503878275,5937,63,9.858850880106277e-21,1.0461640650946529e-22,0.101
0.10821646063563081,5936,64,9.857190302225175e-21,1.0627698439056791e-22,0.101
0.10886741655790631,5935,65,9.855529724344071e-21,1.0793756227167054e-22,0.101
0.10908397906347866,5934,66,9.853869146462969e-21,1.0959814015277315e-22,0.101
0.1112745885826199,5933,67,9.852208568581866e-21,1.1125871803387578e-22,0.101
0.11184306840765292,5932,68,9.850547990700764e-21,1.1291929591497841e-22,0.101
0.11503661521060822,5931,69,9.848887412819661e-21,1.1457987379608102e-22,0.101
0.1166169664119641,5930,70,9.847226834938558e-21,1.1624045167718365e-22,0.101
0.11873106709706127,5929,71,9.845566257057456e-21,1.1790102955828628e-22,0.101
0.11920806040975604,5928,72,9.843905679176352e-21,1.1956160743938891e-22,0.101
0.12038496590870748,5927,73,9.84224510129525e-21,1.2122218532049152e-22,0.101
0.12151071225386048,5926,74,9.840584523414148e-21,1.2288276320159415e-22,0.101
0.12353169075337131,5925,75,9.838923945533045e-21,1.2454334108269678e-22,0.101
0.12728680381713833,5924,76,9.837263367651943e-21,1.262039189637994e-22,0.101
0.1278870956986738,5923,77,9.83560278977084e-21,1.2786449684490202e-22,0.101
0.12804791374144997,5922,78,9.833942211889737e-21,1.2952507472600465e-22,0.101
0.12900702004652748,5921,79,9.832281634008635e-21,1.3118565260710726e-22,0.101
0.12997086511087913,5920,80,9.830621056127532e-21,1.328462304882099e-22,0.101
0.1301876746221097,5919,81,9.82896047824643e-21,1.3450680836931252e-22,0.101
0.13195906606751662,5918,82,9.827299900365326e-21,1.3616738625041513e-22,0.101
0.13501868445223614,5917,83,9.825639322484224e-21,1.3782796413151776e-22,0.101
0.14151738183290424,5916,84,9.823978744603122e-21,1.394885420126204e-22,0.101
0.1443716729435113,5915,85,9.822318166722019e-21,1.41149119893723e-22,0.101
0.14498119428804904,5914,86,9.820657588840917e-21,1.4280969777482563e-22,0.101
0.14543976440095477,5913,87,9.818997010959813e-21,1.4447027565592826e-22,0.101
