Operator_Type,C_rate,M_constant,Final_R_Concentration,Temperature_Std_Dev
linear,0.1,0.1,0.16849813847784714,2.603473659779633
linear,0.1,2.575,0.16849813847784714,2.603473659779633
linear,0.1,5.05,0.16849813847784714,2.603473659779633
linear,0.1,7.525,0.16849813847784714,2.603473659779633
linear,0.1,10.0,0.16849813847784714,2.603473659779633
linear,11.200000000000001,0.1,0.1451893860854877,2.644796595629817
linear,11.200000000000001,2.575,0.1451893860854877,2.644796595629817
linear,11.200000000000001,5.05,0.1451893860854877,2.644796595629817
linear,11.200000000000001,7.525,0.1451893860854877,2.644796595629817
linear,11.200000000000001,10.0,0.1451893860854877,2.644796595629817
linear,22.300000000000004,0.1,0.12549926660816416,2.674411358140528
linear,22.300000000000004,2.575,0.12549926660816416,2.674411358140528
linear,22.300000000000004,5.05,0.12549926660816416,2.674411358140528
linear,22.300000000000004,7.525,0.12549926660816416,2.674411358140528
linear,22.300000000000004,10.0,0.12549926660816416,2.674411358140528
linear,33.400000000000006,0.1,0.10876287046439893,2.6947172108006217
linear,33.400000000000006,2.575,0.10876287046439893,2.6947172108006217
linear,33.400000000000006,5.05,0.10876287046439893,2.6947172108006217
linear,33.400000000000006,7.525,0.10876287046439893,2.6947172108006217
linear,33.400000000000006,10.0,0.10876287046439893,2.6947172108006217
linear,44.50000000000001,0.1,0.09446434158029446,2.7075512725700754
linear,44.50000000000001,2.575,0.09446434158029446,2.7075512725700754
linear,44.50000000000001,5.05,0.09446434158029446,2.7075512725700754
linear,44.50000000000001,7.525,0.09446434158029446,2.7075512725700754
linear,44.50000000000001,10.0,0.09446434158029446,2.7075512725700754
linear,55.60000000000001,0.1,0.08219658643050509,2.7143434239577386
linear,55.60000000000001,2.575,0.08219658643050509,2.7143434239577386
linear,55.60000000000001,5.05,0.08219658643050509,2.7143434239577386
linear,55.60000000000001,7.525,0.08219658643050509,2.7143434239577386
linear,55.60000000000001,10.0,0.08219658643050509,2.7143434239577386
linear,66.7,0.1,0.07163365863412213,2.7162221773840143
linear,66.7,2.575,0.07163365863412213,2.7162221773840143
linear,66.7,5.05,0.07163365863412213,2.7162221773840143
linear,66.7,7.525,0.07163365863412213,2.7162221773840143
linear,66.7,10.0,0.07163365863412213,2.7162221773840143
linear,77.80000000000001,0.1,0.06251133222147609,2.7140888657514584
linear,77.80000000000001,2.575,0.06251133222147609,2.7140888657514584
linear,77.80000000000001,5.05,0.06251133222147609,2.7140888657514584
linear,77.80000000000001,7.525,0.06251133222147609,2.7140888657514584
linear,77.80000000000001,10.0,0.06251133222147609,2.7140888657514584
linear,88.9,0.1,0.05461312126230184,2.708670778494564
linear,88.9,2.575,0.05461312126230184,2.708670778494564
linear,88.9,5.05,0.05461312126230184,2.708670778494564
